79569.63536912124 , 3625792.834235452
736289994.7278615 , 1059057459.2095649
1390989841380.688 , 1918350120774.588
79569.63536912124 , 3625792.834235452
2154856321965.687 , 3008960136857.8677
844879096561.1617 , 1150063454926.8093
79569.63536912124 , 3625792.834235452
5469500.4755504 , 4557527.73204967
186194565.47316012 , 219790803.858087
79569.63536912124 , 3625792.834235452
82265.79275925457 , 3674747.2133347555
78267.53485366183 , 3597027.05762132
79569.63536912124 , 3625792.834235452
79566.48938740672 , 3625727.995510583
79569.12916174927 , 3625783.045670026


79569.63536912124 , 3625792.834235452
79569.63381442125 , 3625792.8034742987
79569.63217057651 , 3625792.768864306
79569.63400803233 , 3625792.8063708856
79569.63493020149 , 3625792.8239205345

79569.63536912124 , 3625792.834235452
83362.50822633281 , 3693478.5272367783
81814.47026058644 , 3667786.9236295195
78490.65415926251 , 3602306.6753462614
83664.77984461356 , 3698397.7718198644

118220252580.92502 , 155784150722.4157
118221142801.68669 , 155785362662.5432
118221993198.81369 , 155786519772.05835

314001861473585.3 , 435377813894787.9
314001862245246.6 , 435377813773423.2
314001862258201.25 , 435377814054514.4

314001861473585.3 , 435377813894787.9
314001861473574.3 , 435377813894795.06
314001861473421.9 , 435377813894781.75

313998580861921.3 , 435376965636109.6
313998580861814.1 , 435376965636093.4
313998580861955.2 , 435376965636116.8

480742090919982.1 , 663893800168504.2
480741985501612.2 , 663893795030921.2
480742042482771.9 , 663893823983870.6

1.7306183745684536e+21 , 2.382431291124197e+21
1.7306183749000238e+21 , 2.382431291128927e+21
1.7306183746710083e+21 , 2.3824312911663695e+21

79569.63536912124 , 3625792.834235452
80854.36192910347 , 3649907.1173275635
83848.71333771633 , 3699764.0667586527

79569.63536912124 , 3625792.834235452
77293.4490095832 , 3572733.27405632
78691.79122097997 , 3604561.6623966075
79569.63536912124 , 3625792.834235452
83028.3225040741 , 3689072.06291644
79287.82522658483 , 3620132.930207788
79569.63536912124 , 3625792.834235452
77439.31982972217 , 3577125.479053284
77276.60870593906 , 3572091.5260011246
79569.63536912124 , 3625792.834235452
76675.27961120881 , 3557074.2168777674
75331.5451276376 , 3511205.637516609
79569.63536912124 , 3625792.834235452
77954.86529071271 , 3590458.9206354106
78770.46867012454 , 3609522.271607122
79569.63536912124 , 3625792.834235452
79569.63536912124 , 3625792.834235452
79569.63536912124 , 3625792.834235452
81507.11663466548 , 3661536.2783828937
82901.43139348249 , 3684569.194364333
87164.8955703413 , 3747614.621955172
91691.81061918745 , 3803874.239437324
88895.12473824134 , 3769669.0001973966
85424.74960780896 , 3722769.1099043363
81199.40457137246 , 3655973.941906944
82882.37580977436 , 3683833.401619638
81524.69018847114 , 3660469.252503969
79855.03098952239 , 3630565.1504859133
80084.23066850843 , 3636303.452324604
80716.10987844184 , 3649257.3855978483
79039.35665064036 , 3614973.5111051695
78797.48272265101 , 3609707.334289141
77759.45828676241 , 3586267.0475577675
79647.0107595892 , 3628853.107417438
76709.51599967187 , 3558504.546506128
79140.58943511578 , 3618342.664802286
79704.94841030132 , 3631084.7498525754
81149.5311340333 , 3658733.007717263
78384.5834382095 , 3602788.3337278003
81448.56440071945 , 3663731.2125937827
82864.15117362086 , 3688322.585618631
82858.63266282609 , 3688087.0859714085
80109.93394997311 , 3639967.7241725987
84144.77611585014 , 3708518.828198079
85834.9117124121 , 3732660.2671910105
91426.4073744976 , 3805754.5522593968
94182.66293674396 , 3837310.130924019
92937.96719212743 , 3822164.2098207525
89490.80715231333 , 3781022.147904042
94479.63190053943 , 3839488.3792041317
94029.62085443923 , 3833680.786618296
92979.8768897811 , 3822136.966809792
93262.51608478573 , 3824123.666013661
93311.87399704967 , 3824525.674061805
96610.20286231539 , 3859958.0014537363
99199.06883305623 , 3887191.682396151
97224.2009697649 , 3867463.284921019
93049.11931293891 , 3822620.9840159668
96642.62219773502 , 3862841.1277007917
101524.85318036094 , 3913196.2238766863
107301.46361302522 , 3967103.199179536
104777.89568569497 , 3944660.5850648484
98659.35818297278 , 3884404.6478611664
101835.38350566114 , 3917699.115923221
104009.15806908978 , 3937694.8299622075
111696.84289419255 , 4006951.491918795
103910.10399478339 , 3937931.625619516
102963.17565538871 , 3930234.904629504
102718.03782701706 , 3927710.1337379306
103409.1074179828 , 3934622.7319136905
97817.7935194073 , 3879685.701462078
93554.3936662215 , 3833647.1808506674
91825.28535738283 , 3813652.6086062104
88993.63508416867 , 3778809.6832621978
91354.25010322065 , 3808920.007653883
86655.96369907295 , 3747853.0323724574
85360.71029546746 , 3730576.2304512113
85749.88917732067 , 3737231.234666895
87618.66788558874 , 3763857.855101601
89509.21940878464 , 3789863.177776945
89962.11844999398 , 3795958.958608959
93916.84947398001 , 3842482.5875760466
90877.92729411813 , 3808060.9180126637
95738.33777901626 , 3862662.8635303276
93720.85356821709 , 3839654.310609136
94943.68925038484 , 3853210.6208897782
98172.85096137045 , 3888373.469152192
91530.7396217932 , 3812665.589042754
91439.46480420593 , 3812929.417560327
88943.49149337401 , 3780581.581107173
86179.69933755157 , 3743042.2637806027
84697.51035975627 , 3721064.045289658
81091.52327366466 , 3660398.086556723
80698.91294000765 , 3654206.1926163724
79289.7201735291 , 3625489.2298181215
79323.20457314949 , 3624983.7113226363
76853.94735538261 , 3566112.657696423
75804.9669245076 , 3533282.175251689
75333.2620443583 , 3515224.345152567
76597.94335990257 , 3556755.0927344635
78160.77251542642 , 3596678.7147031813
77109.51568328062 , 3571667.4425170175
79246.8335130834 , 3622493.5686533125
77951.3838483656 , 3594735.21428026
